type,name,label,label::Dari,label::pash,hint::English,hint::Dari,hint::pash,required,relevant,read_only,appearance,constraint,constraint_message::English,constraint_message::Dari,constraint_message::pash,calculation,choice_filter,repeat_count
select_one host_dispute,host_dispute,"If a resident of your community had a serious dispute with somebody from the host community, who would they go to for help?",??? ??? ?? ?????? ????? ??? ?? ???? ?? ????? ?????? ?????? ??? ????? ????? ???? ?? ?????? ?? ?? ?????? ??????? ,"?? ????? ? ????? ????????? ? ????? ????? ??? ?? ??? ??? ???? ??????? ??? ????? ?????? ????? ???? ??????","Read options, select one",????? ?? ?? ??????? ? ??? ?????? ????,"??????? ?????? ?? ?? ??? ???",TRUE,,,,,,,,,,
text,host_dispute_other,Specify other,???? ?? ???? ????? ,??? ???? ?? ???,,,,TRUE,"selected(${host_dispute}, 'other') ",,,,,,,,,
select_one yesnodont,comm_represent,Does your settlement have a community representation structure?,??? ???? ??? ???? ?????,??? ????? ??? ???? ????,,,,TRUE,,,,,,,,,,
select_one yesnodont,site_land,Do you know who owns the land on which this settlement sits?,??? ???? ??? ???? ?? ?? ???? ??? ?? ?? ???? ??? ?????????,??? ???? ??? ??? ????? ?? ? ??  ???? ????? ??? ?? ??? ??? ?? ?? ??? ???????? (???) ???? ???,,,,TRUE,,,,,,,,,,
select_one site_owner,site_land_owner,Who owns the land?,???? ???? ?? ??? ? (??? ???? ???? ?? ????????)  ,"?? ??? ????/???? ?? ?????) ?? ????? ? ?? ???",,,,TRUE,"selected(${site_land}, 'yes') ",,,,,,,,,
text,site_land_owner_other,Specify other,???? ?? ???? ????? ,??? ???? ?? ???,,,,TRUE,"selected(${site_land_owner}, 'other') ",,,,,,,,,
select_one yesnodont,rent,"Do residents have to pay any fees, monitary or in kind, to use the settlement land or live in shelters there?",??? ?????? ?? ??????? ???? ??????? ?? ???? ?? ????? ??? ????? ?????? ??? ?????????  ,??? ? ???????? (???) ????????? ? ???? ?????? ?? ???? ?? ??????? ?? ???? ???? ????? ????? ?? ??  ???? ?? ? ??? ?? ??? ?? ??? ?? ?? ??????,,,,TRUE,,,,,,,,,,
select_one yesnodont,eviction,"In the last 3 months, have any households in your settlement experienced an eviction from their shelter?",?? ?? ??? ????? ? ??? ???? ??????? ?? ???? ??? ????? ??? ???? ,??? ?? ???? 3 ?????? ?? ????? ?? ???????? (???) ?? ???? ????? ? ??? ??? ????? ???/??? ??? ???,,,,TRUE,,,,,,,,,,
select_multiple eviction,eviction_why,For what reason have the majority of these evictions occurred?,???? ???? ????? ???? ?? ???? ,? ????/?????? ???? ???? ?? ???,,,,TRUE,"selected(${eviction}, 'yes') ",,,,,,,,,
text,eviction_why_other,Specify other,???? ?? ???? ????? ,??? ???? ?? ???,,,,TRUE,"selected(${eviction_why}, 'other') ",,,,,,,,,
select_one yesnodont,eviction_threat,"In the last 3 months, have any households in your settlement been threatened with eviction from their shelter?",?? ?? ??? ????? ? ??? ???? ??????? ?? ???? ??? ????? ?? ????? ??? ???? ,"?? ???? 3 ?????? ??? ??? ????? ?? ???????? (???) ?? ???? ?????? ?? ? ????/?????? ???? ????",,,,TRUE,,,,,,,,,,
text,eviction_threat_other,Specify other,???? ?? ???? ????? ,??? ???? ?? ???,,,,,"selected(${eviction_threat}, 'other') ",,,,,,,,,
select_multiple threaten,eviction_threat_why,"In the last 3 months, who has been the source of these threats?",?? 3 ??? ????? ?? ???? ??? ??????? ?????,"?? ???? 3 ?????? ??? ??? ? ??? ??????? ?????? ???",,,,TRUE,"selected(${eviction_threat}, 'yes') ",,,,,,,,,
text,eviction_threat_why_other,Specify other,???? ?? ???? ????? ,??? ???? ?? ???,,,,TRUE,"selected(${eviction_threat_why}, 'other') ",,,,,,,,,
end group,,,,,,,,,,,,,,,,,,
begin group,esnfi,ESNFI,?????? ??????? ? ???? ??? ??? ????? ,????? ???????/????????? ????,,,,,"(selected(${consent},'yes'))",,,,,,,,,
note,shelter_note,Now I would like to ask you about the shelters and arrangements for living for most households.,???? ??? ?? ?? ???? ?????? ?? ? ????? ????? / ??? ??????? ?????? ???? ??????? ??????? ?? ?????? ?????? ???,??? ???? ?? ?? ? ???? ?????? ? ?????? ?? ?? ?? ???? ??? ? ??????? ?? ??? ?? ?????? ????,,,,FALSE,,yes,,,,,,,,
select_one shelter,shelter_type,What type of shelter do MOST people in your settlement live in?,??????? ?????? ???? ??? ?? ???? ??? ?????? ?????  ?????? ,????? ?? ???????? (???) ?? ??? ??? ?? ??? ??? ?????? /?????? ?? ???? ????,,,,TRUE,,,,,,,,,,
text,shelter_type_other,Specify other,???? ?? ???? ????? ,??? ???? ?? ???,,,,TRUE,"selected(${shelter_type}, 'other') ",,,,,,,,,
select_one accom,accom,What is the accommodation arrangement for most families in your settlement? ,?? ???? ??? ????? ??? ? ??? ?????? ??????? ?? ?? ??? ????,????? ?? ???????? (???) ?? ? ???? ?????? ? ??????? ????? ?? ??? ???,"Read options, select one",????? ?? ?? ??????? ? ??? ?????? ????,"??????? ?????? ?? ?? ??? ???",TRUE,,,,,,,,,,
text,accom_other,Specify other,???? ?? ???? ????? ,??? ???? ?? ???,,,,TRUE,"selected(${accom}, 'other') ",,,,,,,,,
select_one tenure,tenure,"Is the most common type of agreement for occupying the living space used by households written, verbal, or no agreement at all?","??? ????  ????? ??? ????? ????? ???? ???? ????? ???? ???  ???? ?????? ???????? ????? ? ?? ??? ??????? ??????   ","? ??? ? ????? ?? ???? ??? ???? ??? ?? ???? ??? ??? ????? ???? ?? ?? ??? ??? ??????? ?????",,,,TRUE,,,,,,,,,,
select_one tenure_written,tenure_written,What written document do most households posess?,??????? ??????? ???  ?? ??? ?????  ???? ????? ,???? ????? ??? ??? ???? ??? ????,"Read options, select one",????? ?? ?? ??????? ? ??? ?????? ????,"??????? ?????? ?? ?? ??? ???",TRUE,"selected(${tenure}, 'written') ",,,,,,,,,
text,tenure_written_other,Specify other,???? ?? ???? ????? ,??? ???? ?? ???,,,,TRUE,"selected(${tenure_written}, 'other') ",,,,,,,,,
integer,hh_rooms,What is the average number of rooms in most shelters in which household members sleep?,"??????? ?????? ??? ?? ?? ?? ????? ??????? ????? ?????? ??? ???? ???? ?????",?? ???? ??? ???? ??????? ?? ???? ?????  ??? ???? ??? ? ??? ????? ?? ????/??????? ????,,,,,,,,. <=10,Number of rooms must be 10 or less,????? ???? ?? ???? ???? ?? ????? ?? ?? ????,? ??????? ???? ???? ?? ?? ?? ?? ?? ?? ??,,,
select_one covid_shelter,covid_shelter,"If someone in your settlement becomes sick with symptoms of coronavirus, what kind of shelter or accommodation support would MOST households in your settlement prefer? ",???  ???? ?? ????? ??? ???? ??? ? ????? ????? ????? ?? ????? ???? ?????? ??????? ???  ???? ??? ???? ??? ?????? ?? ???? ?????? ????? ???????  ,"?? ????? ?? ???????? (???) ?? ??? ????? ? ?????????? ??? ????? ????? ?? ???????? (???) ?? ???? ????? ??? ??? ?????? ?? ? ?????? ??? ???? ???? ????","Read options, select one",????? ?? ?? ??????? ? ??? ?????? ????,"??????? ?????? ?? ?? ??? ???",TRUE,,,,,,,,,,
text,covid_shelter_other,Specify other,???? ?? ???? ????? ,??? ???? ?? ???,,,,TRUE,"selected(${covid_shelter}, 'other') ",,,,,,,,,
select_one yesnodont,covid_sitespace,Do you have adequate land in your setlement where these additional facilities can be constructed or set up?,?? ??? ?? ??? ????? ?????? ??? ???? ???? ????? ???? ????? ??????? ????? ?? ??? ,??? ???? ?? ??? ???????? (???) ?? ???? ???? ??? ??? ?? ?? ????? ??????? ??? ?? ????? ????,,,,TRUE,"selected(${covid_shelter}, 'tools') or selected(${covid_shelter}, 'tent') or selected(${covid_shelter}, 'temp_ward')",,,,,,,,,
select_one yesnodont,sim_card,Do MOST residents in your settlement have access to a sim card?,??? ?????? ?????? ????? ??? ?????? ?? ??????? ????? ,??? ????? ?? ???????? (???) ?? ??? ????????? ??? ???? ?? ?????? ????,,,,TRUE,,,,,,,,,,
end group,,,,,,,,,,,,,,,,,,
begin group,food_sec,Food Security and Livelihood,????? ????? ?  ????? ????? ,? ????? ???????? ?? ?????,,,,,"(selected(${consent},'yes'))",,,,,,,,,
note,fsl_note,"Now I would like to ask you about the markets used by residents, availability of items, and any aid distributions that happen in your settlement. ",???? ??????? ?? ???? ????? ?? ?????? ???  ???? ??? ?? ?? ??????? ??????? ????? ???? ????? ? ?? ????? ??? ?? ?? ?? ????? ??? ???? ????? ???? ????  ????? ? ,"??? ?? ????? ? ???????? ?? ???  ?? ??? ??? ????????? ??? ??? ????? ? ???? ????? ?? ??? ????? ? ??? ?? ??? ?? ????? ?? ???????? (???) ?? ????? ????? ?????? ?????",,,,FALSE,,yes,,,,,,,,
select_one livelihood,livelihood,Which income-generating activity do MOST people in your settlement engage in?,??????? ???? ???? ??? ???? ???? ????? ????? ???? ??? ?? ???? ??????,????? ? ??? ???? ??? ? ???? ? ??? ?? ?????? ????? ?? ??? ??? ?????? ????? ???,,,,TRUE,,,,,,,,,,
text,livelihood_other,Specify other,???? ?? ???? ????? ,??? ???? ?? ???,,,,TRUE,"selected(${livelihood}, 'other') ",,,,,,,,,
select_one work_change,work_change,How has work for MOSTsettlement residents changed due to movement and economic restrictions related to health concerns in the last 3 months?,"??? ?? 3 ??? ?????? ?? ???? ??????? ??? ??? ? ???? ? ??????? ????? ?? ?????? ??? ???? ?? ??? ??????? ?????? ??? ???? ????? ???? ????","??? ?? ???? 3 ?????? ??? ? ???????? ???????? ???? ? ?? ?? ?? ?? ??????? ???????? ? ???? ?? ??? ?? ??? ????? ???????",,,,TRUE,,,,,,,,,,
select_multiple unemploy_coping,unemploy_coping,Are any of the following actions being taken by settlement residents as a result of lack of employment?,"??? ?? ???? ??? ?????? ???  ????? ??? ? ???? ?????? ??? ??????? ?????",??? ? ??? ? ?? ???? ?? ????? ?? ? ???????? (???) ? ????????? ???? ????? ???? ???? ????? ????,"Read options, select all that apply",????? ?? ?? ??????? ? ???? ?????? ?? ?????? ???? ?????? ????,"??????? ?????? ??? ??? ?????? ??? ?? ???? ????",TRUE,,,,"not((selected(., 'dont_know')) and count-selected(.) >1)",Cannot select 'don't know' and any other option,????? ???/??? ???? ?? ??????? ?? ?? ?? ?? ????? ??? ???? ?????? ???? ?????????,? ??? ?? ?? ?????? ???? ? ???? ??????? ??? ????? ??? ??????????,,,
text,unemploy_coping_other,Specify other,???? ?? ???? ????? ,??? ???? ?? ???,,,,TRUE,"selected(${unemploy_coping}, 'other') ",,,,,,,,,
select_one health_2k,market_walking,Is there an accessible market within 2 km of your settlement?,??? ?? 2 ???? ???? ??? ???? ???? ??????/????? ???? ???? ?????,??? ??? ??? ?? 2 ???? ???? ?? ??? ?????/?????? ???? ????,,,,TRUE,,,,,,,,,,
select_one yesnodont,market_soldout,Have materials within this market sold out or become more difficult to find in the last 3 months?,??? ?? 3 ??? ????? ???? ???? ??? ? ?? ???? ???? ?? ???? ?? ??? ????? ?? ???? ?? ????? ????  ,"??? ?? ???? 3 ?????? ?? ?? ??? ????? ?? ???? ???? ???? ?? ???? ???? ?? ??????? ??? ???",,,,TRUE,"not(selected(${market_walking}, 'no_none')) ",,,,,,,,,
select_multiple market_item,soldout_item,Which materials have sold out or become harder to find?,???? ???? ???? ??? ???? ???? ??? ? ??  ???? ???? ?? ???? ???? ,"??? ???? ???? ???? ?? ????? ?? ??? ??? ???",,,,TRUE,"selected(${market_soldout}, 'yes') ",,,,,,,,,
text,soldout_item_other,Specify other,???? ?? ???? ????? ,??? ???? ?? ???,,,,TRUE,"selected(${soldout_item}, 'other') ",,,,,,,,,
select_multiple food_source,food_source,What are the main sources of food for people in the settlement?,???? ???? ???? ????? ?? ????? ??? ???? ???? ?????,???  ???????? (???) ? ???? ????? ? ????? ???? ?????? ???? ???,,,,TRUE,,,,,,,,,,
text,food_source_other,Specify other,???? ?? ???? ????? ,??? ???? ?? ???,,,,TRUE,"selected(${food_source}, 'other') ",,,,,,,,,
select_one yesnodont,food_access,Have residents had sufficient access to food (financially) to meet the needs of their households in the past 3 months?,??? ?????? ?? ?????? ???? ?? ???? ????? (?? ???? ????) ?? 3 ??? ???? ???? ????? ????? ??????? ????? ???? ,"??? ?? ???? 3 ?????? ?? ??? ??? ????????? ?? ???? ?????? (?? ???? ????) ?????? ???? ?? ?????? ?????? ???? ? ???? ?????? ??????? ???? ????",,,,TRUE,,,,,,,,,,
end group,,,,,,,,,,,,,,,,,,
begin group,aap,Accountability to Affected Populations,???? ???? ?? ????? ?????,??????? ???? ?? ???? ??????,,,,,"(selected(${consent},'yes'))",,,,,,,,,
select_one yesnodont,aid_provided,Do humanitarian agencies provide services to any households living in this informal settlement?,??? ??????/?????? ???? ?? ???? ??????? ?? ?? ???? ???? ??? ???? ????? ????? ?????/??? ?? ????? ??????,??? ???? ?????/????? ???? ?????? ?? ?? ??? ??? ???? ???????? ?? ???? ??? ?????/????? ?????? ????,,,,TRUE,,,,,,,,,,
select_multiple distribution,aid_type,What types of services are provided?,?? ??? ?????/??? ?? ????? ??????,??? ??? ?????/????? ?? ?????? ??? ???,,,,TRUE,"selected(${aid_provided}, 'yes') ",,,,,,,,,
text,aid_type_other,Specify other,???? ?? ???? ????? ,??? ???? ?? ???,,,,TRUE,"selected(${aid_type}, 'other') ",,,,,,,,,
select_one yesnodont,aid_govt,Have there been efforts made by local government or authorities to inform or provide additonal services to your settlement in relation to coronavirus risks?,??? ?????? ????? ?? ?????? ???? ????? ???? ????? ????? ?? ????? ????? ?? ????? ????? ????? ????  ???? ??? ???? ???? ???? ????,??? ???? ????? ?? ??????? ??? ??? ?? ????? ??? ?? ? ????? ????? ?? ?????? ????? ????? ?? ? ????? ?? ??? ??????? ???? ????,,,,TRUE,,,,,,,,,,
select_one services,aid_services,What were those additional services?,??? ????? ????? ???? ?? ????,??? ????? ????? ??? ???,,,,TRUE,"selected(${aid_govt}, 'yes') ",,,,,,,,,
text,aid_services_other,Specify other,???? ?? ???? ????? ,??? ???? ?? ???,,,,TRUE,"selected(${aid_services}, 'other') ",,,,,,,,,
end group,,,,,,,,,,,,,,,,,,
begin group,education,Education,????? ? ????? ,??? ??? /?????,,,,,"(selected(${consent},'yes'))",,,,,,,,,
note,edu_note,Now I would quickly like to ask you about educational facilities used by the settlement. This is the last section.,???? ?? ??????? ?? ???? ????? ??? ?????? ?? ?? ???? ??? ??????? ????? ?????. ??? ????? ??? ???.   ,"?? ???? ? ?????? ?????? ???? ??? ??? ???? ?? ????? ? ??? ?????? ?????? ?? ??? ?????? ???? ?? ??? ??? ??? ????? ??? ????",,,,FALSE,,yes,,,,,,,,
select_one health_2k,school_distance,Is there an accessible school within 2 km of your settlement?,??? ?? 2 ???? ???? ???? ??? ???? ???? ?????,??? ??? ??? ?? 2 ???? ???? ?? ??? ?????? ???? ????,,,,TRUE,,,,,,,,,,
select_one yesnodont,school_closed,Has this facility been closed in the last 3 months due to health concerns or movement restrictions?,"??? ?? ? ??? ?????? ??? ?????/????? ?? ???? ?????? ??? ???  ???? ??? ????",??? ?? ???? 3 ?????? ?? ???  ?????? ? ???????? ??????? ?? ???? ??? ????,,,,TRUE,"not(selected(${school_distance}, 'no_none'))",,,,,,,,,
select_multiple other_edu,school_alternatives,Are any other options for education available for children in your settlement?,??? ????? ????? ???? ????? ????? ?? ???? ??? ????? ???? ,??? ????? ?? ???????? (???) ?? ? ???????? ? ??? ??? ????? ??? ?? ???? ???? ????,"Read options, select all that apply",????? ?? ?? ??????? ? ???? ?????? ?? ?????? ???? ?????? ????,"??????? ?????? ??? ??? ?????? ??? ?? ???? ????",TRUE,"selected(${school_closed}, 'yes') ",,,"(not((selected(., 'no')) and count-selected(.) >1)) and (not((selected(., 'dont_know')) and count-selected(.) >1))",Cannot select 'no' or 'don't know' and any other option,????? ???/??? ???? ?? ??????? ?? ?? ?? ?? ????? ??? ???? ?????? ???? ?????????,? ??? ?? ?? ?????? ???? ? ???? ??????? ??? ????? ??? ??????????,,,
text,school_alt_other,Specify other,???? ?? ???? ????? ,??? ???? ?? ???,,,,,"selected(${school_alternatives}, 'other') ",,,,,,,,,
end group,,,,,,,,,,,,,,,,,,
note,thankyou,"Thank you very much for participating in the survey. Over the next year, it is possible we would like to survey your settlement again. We will continue to contact you through the phone number used here if that is necessary for assessments. We hope you will contimue to support OFDA and REACH's efforts to provide suppor to sites like your own. Thank you. ",?? ???? ??? ???? ???? ?????????. ??  ??? ???  ????? ?? ???? ??? ?? ???? ??? ?? ?????? ???? ????. ?? ??  ???? ????? ???? ?? ??? ???? ?????? ???? ??  ???? ?????.  ?? ????????? ?? ??? ?? ?????? ??? ?? OFDA ? REACH ?? ????? ?? ????? ???? ?????? ????. ????.   ," ????? ?? ???? ??? ???? ???? . ? ???????? ??? ?? ????? ??? ????? ??? ?? ???? ??? ????? ? ???????? (???) ???? ????. ???? ?? ???? ??? ? ?????? ????? ?? ???? ????? ?????. ?? ???? ? ?????? ????? ???? ????. ???? ???? ??? ?? ???? ?? OFDA ?? ? REACH ? ??? ????? ??? ?? ? ??? ??? ?? ??? ???? ???? ?? ????? ???? ???. ????",,,,FALSE,,yes,,,,,,,,
end,end_survey,,,,,,,,,,,,,,,,,
select_one location_fs,location_fs,location_fs,,,,,,,,,,,,,,,,
select_one ki_gender_age,ki_gender_age,% of KIs by gender and age,,,,,,,,,,,,,,,,
integer,idp_3mo_hhs_prop,Proprotion of ISETs reporting IDPS arriving in the 3 months prior,,,,,,,,,,,,,,,,
integer,caseload_hhs,Total humanitarian caseload households,,,,,,,,,,,,,,,,
integer,caseload_indvl,Total humanitarian caseload individuals,,,,,,,,,,,,,,,,
integer,caseload_prop,caseload_prop,,,,,,,,,,,,,,,,
integer,returnee_3mo_hhs_prop,Proportion of ISETs reporting returnees arriving in the 3 months prior,,,,,,,,,,,,,,,,
integer,total_hhs,Total households reported,,,,,,,,,,,,,,,,
integer,total_indvl,Total individuals reported,,,,,,,,,,,,,,,,
integer,hh_size,Average household size,,,,,,,,,,,,,,,,
integer,caseload_prop,caseload_prop,,,,,,,,,,,,,,,,
integer,prop_disability,% of households in district containing persons with disability,,,,,,,,,,,,,,,,
integer,vul_chronic,% of households in district containing chronic illness,,,,,,,,,,,,,,,,
integer,vul_chronic_fs,% of sites in which more the 5% of the population is comprised of hhs containing at least one member with a chronic illness,,,,,,,,,,,,,,,,
integer,vul_elderly,% of elderly persons in ISETs in the district,,,,,,,,,,,,,,,,
integer,vul_chronic_fs,% of sites in which more the 5% of the population is comprised of elderly individuals,,,,,,,,,,,,,,,,
integer,prop_female_hoh,% of female-headed households in district,,,,,,,,,,,,,,,,
integer,using_public_facility,% of sites in which KIs reported residents using public facilities for handwashing,,,,,,,,,,,,,,,,
integer,water_source_fs,% of sites reporting an unimproved wource of drinking water as main source,,,,,,,,,,,,,,,,
select_one yesno,services_proxy,services_proxy,,,,,,,,,,,,,,,,
select_one tenure_insecure,tenure_insecure,% of sites reporting insecure tenure,,,,,,,,,,,,,,,,
integer,vul_sleeping_space,"Average number of persons sleeping per room, with space to isolate",,,,,,,,,,,,,,,,
select_one region,region,region,,,,,,,,,,,,,,,,
integer,vul_sleeping_prop,Proportion of sites in which there is not enough space on average for all households members to sleep safely and isolate if ill,,,,,,,,,,,,,,,,
select_multiple health_unsatisfy_constraint,health_unsatisfy_constraint,"% of KIs reporting site satisfaction with health serveice, by those reporting to use the servinces in the last 3 months ",,,,,,,,,,,,,,,,
integer,hh_rooms_space_isolate,hh_rooms_space_isolate,,,,,,,,,,,,,,,,
select_one tenure_sec_insec,tenure_sec_insec,tenure_sec_insec,,,,,,,,,,,,,,,,
select_one access_toservice,access_toservice,access_toservice,,,,,,,,,,,,,,,,
select_one shelter_condition,shelter_condition,shelter_condition,,,,,,,,,,,,,,,,
select_one over_less_5years,over_less_5years,over_less_5years,,,,,,,,,,,,,,,,
select_one mixed_sep_popn,mixed_sep_popn,mixed_sep_popn,,,,,,,,,,,,,,,,
select_one return_status,return_status,return_status,,,,,,,,,,,,,,,,
select_one location_type,location_type,location_type,,,,,,,,,,,,,,,,
select_one site_type,site_type,site_type,,,,,,,,,,,,,,,,
integer,idp_discrete,idp_discrete,,,,,,,,,,,,,,,,
integer,prolong_discrete,prolong_discrete,,,,,,,,,,,,,,,,
integer,protract_discrete,protract_discrete,,,,,,,,,,,,,,,,
integer,refugee_discrete,refugee_discrete,,,,,,,,,,,,,,,,
integer,returnee_discrete,returnee_discrete,,,,,,,,,,,,,,,,
integer,economic_discrete,economic_discrete,,,,,,,,,,,,,,,,
integer,nomad_discrete,nomad_discrete,,,,,,,,,,,,,,,,
integer,idp_mixed,idp_mixed,,,,,,,,,,,,,,,,
integer,prolong_mixed,prolong_mixed,,,,,,,,,,,,,,,,
integer,protract_mixed,protract_mixed,,,,,,,,,,,,,,,,
integer,refugee_mixed,refugee_mixed,,,,,,,,,,,,,,,,
integer,returnee_mixed,returnee_mixed,,,,,,,,,,,,,,,,
integer,economic_mixed,economic_mixed,,,,,,,,,,,,,,,,
integer,nomad_mixed,nomad_mixed,,,,,,,,,,,,,,,,
select_one water_distance_fs,water_distance_fs,% of sites reporting no drinking water source within 2 km of the site,,,,,,,,,,,,,,,,
select_one health_distance_fs,health_distance_fs,% of sites reporting no health care centre in 2km of settlement ,,,,,,,,,,,,,,,,
select_one access_school,access_school,% of sites reporting access to school,,,,,,,,,,,,,,,,
select_one vulnerability_classification,vulnerability_classification,Vulnerability classification,,,,,,,,,,,,,,,,
integer,vulnerability_score,Vulnerability Composite,,,,,,,,,,,,,,,,
